id,Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg),Predicted class
22337,-28.1806,28.2883,0.0,24.99,8.35,8.96,23.87,9.92,3.54,very low contamination
22338,-28.3914,28.2203,0.0,21.01,12.32,7.54,17.01,32.41,7.05,very low contamination
22339,-28.4692,28.8503,0.0,18.59,6.95,9.0,13.86,7.62,5.2,very low contamination
22340,-28.3508,28.7242,0.0,12.97,8.43,10.53,14.08,7.01,7.23,very low contamination
22341,-28.1161,28.5692,0.0,63.55,23.9,13.77,64.42,34.67,11.83,low contamination
22342,-28.7556,29.3658,0.0,55.72,9.47,9.57,18.65,11.13,5.47,very low contamination
22343,-28.0928,29.1911,0.0,28.11,12.8,12.7,33.35,16.71,9.06,very low contamination
22344,-28.1314,29.0297,0.0,22.44,5.64,5.8,34.4,5.63,3.0,very low contamination
22345,-28.2825,29.3164,0.0,38.91,16.12,18.18,32.08,12.31,4.77,very low contamination
22346,-27.8858,28.4306,0.0,26.92,11.87,8.46,18.81,8.05,7.66,very low contamination
22347,-27.5967,28.7881,0.0,96.88,56.6,23.83,61.48,61.5,36.04,moderate contamination
22348,-27.3392,28.8472,0.0,57.33,34.4,18.97,41.84,29.85,23.12,low contamination
22349,-27.2814,28.6314,0.0,61.36,58.94,12.67,40.06,63.91,21.31,low contamination
22350,-27.315,28.3914,0.0,193.06,99.58,10.5,72.48,81.14,64.36,moderate contamination
22351,-27.1217,28.1981,0.0,67.76,54.51,14.21,56.65,51.52,23.35,low contamination
22352,-27.0603,28.0833,0.0,29.65,30.9,15.12,35.29,23.22,13.11,very low contamination
22353,-27.9142,29.2786,0.0,22.31,14.91,15.18,26.6,10.99,8.39,very low contamination
22354,-27.9422,29.7964,0.0,51.65,28.02,25.06,39.59,24.71,14.15,very low contamination
22355,-27.8267,29.8911,0.0,206.49,69.05,29.87,56.6,91.45,66.78,moderate contamination
22356,-27.6378,29.7458,0.0,28.67,17.43,18.01,38.89,13.58,8.14,very low contamination
22357,-27.3856,29.7022,0.0,27.63,12.16,16.42,36.25,11.15,4.42,very low contamination
22358,-27.3231,29.1825,0.0,121.18,64.14,16.83,74.3,56.52,27.62,moderate contamination
22359,-27.1383,29.26,0.0,211.99,128.85,5.53,65.96,68.2,37.1,moderate contamination
22360,-30.4217,26.8006,0.0,97.28,20.91,8.19,39.68,22.09,14.67,moderate contamination
22361,-30.6108,26.7589,0.0,40.79,18.46,9.04,39.47,11.93,8.02,very low contamination
22362,-30.6561,27.1281,0.0,27.03,17.68,22.34,34.22,13.84,15.05,very low contamination
22363,-30.7083,27.7489,0.0,31.0,14.08,8.01,43.76,10.28,7.9,very low contamination
22364,-30.4258,27.5614,0.0,10.77,14.33,14.04,28.51,8.04,6.72,very low contamination
22365,-30.9583,26.3347,0.0,54.11,28.67,10.07,49.4,26.81,14.87,very low contamination
22366,-30.6458,26.0425,0.0,26.02,18.39,12.99,43.48,13.15,9.18,very low contamination
22367,-30.1597,26.5817,0.0,48.87,20.87,8.66,30.91,14.55,7.83,very low contamination
22368,-29.6786,26.1447,0.0,47.68,31.25,23.51,79.95,26.7,11.69,very low contamination
22369,-29.3747,26.2047,0.0,64.28,19.73,5.47,23.83,15.61,7.38,very low contamination
22370,-29.6636,26.3133,0.0,46.55,22.69,13.56,30.71,21.6,15.71,very low contamination
22371,-29.63,26.7828,0.0,67.92,31.31,5.46,37.09,35.39,11.0,low contamination
22372,-29.8197,27.0256,0.0,22.41,19.08,7.26,31.03,10.24,3.36,very low contamination
22373,-29.6247,27.0011,0.0,48.1,23.0,7.89,43.21,30.77,11.87,very low contamination
22374,-29.3508,27.28,0.0,31.95,18.52,22.07,53.74,16.01,10.07,very low contamination
22375,-29.2344,27.4497,0.0,28.96,12.26,7.43,25.25,8.79,3.27,very low contamination
22376,-29.072,27.5081,0.0,19.14,8.99,6.33,24.67,5.93,1.81,very low contamination
22377,-28.8847,27.8656,0.0,13.89,9.3,6.95,14.25,4.35,1.41,very low contamination
22378,-28.7761,27.2058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,very low contamination
22379,-28.4767,27.17,0.0,40.77,12.57,6.99,27.4,11.51,4.79,very low contamination
22380,-28.1322,27.2467,0.0,83.44,31.81,9.31,45.74,28.7,11.57,moderate contamination
22381,-28.4439,26.4358,0.0,112.31,59.67,11.83,65.99,35.78,17.81,moderate contamination
22382,-28.6581,26.3969,0.0,77.78,40.59,16.71,79.79,32.72,14.58,low contamination
22383,-28.3517,26.1708,0.0,70.9,40.11,15.85,80.39,33.55,14.79,low contamination
22384,-28.0783,26.28,0.0,90.2,29.25,7.3,35.97,12.8,10.12,moderate contamination
22385,-27.8506,26.2822,0.0,24.74,12.65,6.38,17.44,8.96,3.52,very low contamination
22386,-28.9386,26.3628,0.955,307.26,177.34,9.91,33.7,42.05,27.69,moderate contamination
22387,-27.8592,26.8136,0.0,30.84,15.39,8.95,34.92,9.96,4.54,very low contamination
22388,-27.7058,27.1031,0.0,49.97,21.57,8.07,42.75,20.66,5.21,very low contamination
22389,-27.57,26.8992,0.0,51.13,32.29,15.03,51.36,24.89,11.92,very low contamination
22390,-27.0497,26.7997,0.0,22.34,12.75,3.71,10.08,4.57,1.09,very low contamination
22391,-27.2106,27.3369,0.0,180.46,71.03,6.39,27.11,19.3,9.1,moderate contamination
22392,-27.8806,27.4522,0.0,137.97,46.53,8.31,65.28,43.35,27.33,moderate contamination
22393,-27.9286,27.7583,0.0,36.95,16.11,18.82,26.28,13.02,8.88,very low contamination
22394,-29.535,18.9281,0.0,31.62,18.44,9.23,44.8,20.49,6.31,very low contamination
22395,-29.6317,18.725,0.0,18.96,10.47,7.85,28.04,10.61,3.02,very low contamination
22396,-29.3953,18.6503,0.0,20.53,11.34,9.94,38.34,12.1,4.46,very low contamination
22397,-29.1597,18.7286,0.037,37.32,61.82,35.51,138.74,93.47,9.14,very low contamination
22398,-29.0614,18.5353,0.0,35.34,21.61,13.15,57.72,29.17,8.85,very low contamination
22399,-29.2194,18.3469,0.0,17.15,10.48,13.26,32.63,15.0,3.53,very low contamination
22400,-29.4047,18.3181,0.0,26.0,14.39,14.02,59.67,19.12,7.79,very low contamination
22401,-29.7464,18.1589,0.0,25.94,11.5,9.36,32.82,12.72,4.02,very low contamination
22402,-29.9072,18.4247,0.0,38.43,19.07,14.13,69.24,20.24,10.17,very low contamination
22403,-29.8289,19.3683,0.0,31.94,16.22,11.31,38.57,15.39,5.18,very low contamination
22404,-29.5144,19.6317,0.0,35.62,24.83,11.99,103.95,29.55,9.59,very low contamination
22405,-29.2225,19.7572,0.0,42.06,19.75,12.78,61.54,20.72,7.82,very low contamination
22406,-29.1242,19.4106,0.0,21.08,28.82,17.69,140.08,50.91,10.02,very low contamination
22407,-29.4394,17.7303,0.0,21.56,7.57,10.41,21.89,9.72,2.05,very low contamination
22408,-29.2836,17.7467,0.0,43.77,24.75,19.9,110.05,32.24,13.81,very low contamination
22409,-28.9333,17.7497,0.0,32.36,22.67,9.52,78.5,30.55,10.45,very low contamination
22410,-29.1403,17.1297,0.0,45.58,32.67,9.14,88.71,36.34,17.64,very low contamination
22411,-29.1047,16.8419,0.0,22.56,13.2,5.14,23.8,7.5,4.38,very low contamination
22412,-29.7897,17.4311,0.0,25.87,8.15,11.02,35.44,8.75,4.6,very low contamination
22413,-28.6897,16.5667,0.0,19.88,11.26,6.11,21.78,5.73,3.67,very low contamination
22414,-28.1864,17.1244,0.0,27.98,19.19,13.41,64.2,34.2,11.0,very low contamination
22415,-28.3236,17.1881,0.0,22.2,21.49,14.26,89.52,33.49,13.46,very low contamination
22416,-28.4344,16.9814,0.0,44.58,19.93,14.45,74.7,14.75,11.54,very low contamination
22417,-30.1981,17.3047,0.0,45.46,9.77,10.28,27.44,8.1,4.29,very low contamination
22418,-30.6006,17.6022,0.0,13.89,6.52,15.17,32.13,5.78,4.68,very low contamination
22419,-30.9683,17.8364,0.0,17.85,6.43,23.19,39.92,7.1,4.0,very low contamination
22420,-31.1975,17.8608,0.0,47.79,11.34,13.19,39.66,10.86,5.47,very low contamination
22421,-30.2483,17.6497,0.0,23.23,7.37,12.61,48.08,9.87,7.72,very low contamination
22422,-30.2019,17.945,0.0,23.34,13.96,18.33,83.66,21.51,10.63,very low contamination
22423,-30.645,18.1247,0.0,24.73,9.15,21.55,29.16,5.72,9.14,very low contamination
22424,-30.3911,18.1372,0.0,6.4,5.68,12.85,109.54,5.99,5.01,very low contamination
22425,-30.2031,18.0445,0.0,20.63,11.7,20.5,49.78,7.56,11.03,very low contamination
22426,-30.0792,18.2547,0.0,8.71,7.01,15.41,65.42,8.1,7.09,very low contamination
22427,-30.4175,18.5953,0.0,23.07,12.93,12.68,94.71,15.18,7.02,very low contamination
22428,-30.3097,18.8581,0.0,53.92,33.63,15.53,102.65,52.38,16.27,very low contamination
22429,-30.8817,18.7136,0.0,38.21,14.56,13.91,55.02,16.07,4.69,very low contamination
22430,-30.8153,19.0297,0.0,42.1,21.41,10.09,79.55,22.67,8.37,very low contamination
22431,-30.9508,19.4703,0.0,58.91,28.23,30.2,79.95,33.5,13.16,very low contamination
22432,-30.7133,19.8542,0.0,35.57,26.02,23.57,116.41,35.73,10.06,very low contamination
22433,-30.5636,19.9303,0.0,66.13,36.54,10.03,91.3,34.95,13.74,low contamination
22434,-30.6469,19.3431,0.0,45.46,49.04,4.94,58.95,54.45,20.0,very low contamination
22435,-30.5178,19.3014,0.0,14.09,65.52,2.14,49.11,96.42,27.68,very low contamination
22436,-30.3967,19.2331,0.0,38.28,34.07,9.19,69.23,58.13,15.92,very low contamination
22437,-30.0503,19.4472,0.0,18.45,40.98,5.14,91.48,130.53,18.18,very low contamination
22438,-24.7767,29.1556,0.0,112.9,45.71,8.29,63.02,32.03,9.5,moderate contamination
22439,-24.8586,28.7858,0.0,124.3,59.01,14.61,67.87,44.1,32.09,moderate contamination
22440,-24.5939,28.2833,0.0,77.77,39.81,14.24,31.54,10.33,17.67,low contamination
22441,-24.2317,28.2086,0.0,15.97,7.47,4.15,45.9,4.22,2.72,very low contamination
22442,-24.0139,28.3869,0.0,41.72,21.34,15.68,18.43,17.94,11.11,very low contamination
22443,-23.5297,28.6914,0.0,50.74,26.52,6.66,20.92,12.62,8.84,very low contamination
22444,-23.2458,28.4533,0.0,89.07,32.89,9.1,52.55,16.5,11.22,moderate contamination
22445,-23.2978,28.2686,0.0,64.27,48.29,17.81,39.39,25.16,11.97,low contamination
22446,-23.1525,28.2147,0.0,65.09,25.9,6.97,18.21,12.19,6.62,low contamination
22447,-22.7133,28.3883,0.0,47.11,24.05,7.42,38.13,18.42,6.86,very low contamination
22448,-22.7486,28.7475,0.0,38.88,35.26,3.8,52.56,22.21,10.1,very low contamination
22449,-22.6345,28.7797,0.0,44.19,28.42,11.99,35.04,19.23,7.95,very low contamination
22450,-22.6739,29.0642,0.0,106.5,64.57,10.74,88.0,41.07,17.5,moderate contamination
